image_id,healthy,multiple_diseases,rust,scab
Test_0,0.0,0.0,1.0,0.0
Test_1,0.0,0.0,1.0,0.0
Test_2,0.0,0.0,1.0,0.0
Test_3,0.0,0.0,1.0,0.0
Test_4,0.0,0.0,1.0,0.0
Test_5,0.0,0.0,1.0,0.0
Test_6,0.0,0.0,1.0,0.0
Test_7,0.0,0.0,1.0,0.0
Test_8,0.0,0.0,1.0,0.0
Test_9,0.0,0.0,1.0,0.0
Test_10,0.0,0.0,1.0,0.0
Test_11,0.0,0.0,1.0,0.0
Test_12,0.0,0.0,1.0,0.0
Test_13,0.0,0.0,1.0,0.0
Test_14,0.0,0.0,1.0,0.0
Test_15,0.0,0.0,1.0,0.0
Test_16,0.0,0.0,1.0,0.0
Test_17,0.0,0.0,1.0,0.0
Test_18,0.0,0.0,1.0,0.0
Test_19,0.0,0.0,1.0,0.0
Test_20,0.0,0.0,1.0,0.0
Test_21,0.0,0.0,1.0,0.0
Test_22,0.0,0.0,1.0,0.0
Test_23,0.0,0.0,1.0,0.0
Test_24,0.0,0.0,1.0,0.0
Test_25,0.0,0.0,1.0,0.0
Test_26,0.0,0.0,1.0,0.0
Test_27,0.0,0.0,1.0,0.0
Test_28,0.0,0.0,1.0,0.0
Test_29,0.0,0.0,1.0,0.0
Test_30,0.0,0.0,1.0,0.0
Test_31,0.0,0.0,1.0,0.0
Test_32,0.0,0.0,1.0,0.0
Test_33,0.0,0.0,1.0,0.0
Test_34,0.0,0.0,1.0,0.0
Test_35,0.0,0.0,1.0,0.0
Test_36,0.0,0.0,1.0,0.0
Test_37,0.0,0.0,1.0,0.0
Test_38,0.0,0.0,1.0,0.0
Test_39,0.0,0.0,1.0,0.0
Test_40,0.0,0.0,1.0,0.0
Test_41,0.0,0.0,1.0,0.0
Test_42,0.0,0.0,1.0,0.0
Test_43,0.0,0.0,1.0,0.0
Test_44,0.0,0.0,1.0,0.0
Test_45,0.0,0.0,1.0,0.0
Test_46,0.0,0.0,1.0,0.0
Test_47,0.0,0.0,1.0,0.0
Test_48,0.0,0.0,1.0,0.0
Test_49,0.0,0.0,1.0,0.0
Test_50,0.0,0.0,1.0,0.0
Test_51,0.0,0.0,1.0,0.0
Test_52,0.0,0.0,1.0,0.0
Test_53,0.0,0.0,1.0,0.0
Test_54,0.0,0.0,1.0,0.0
Test_55,0.0,0.0,1.0,0.0
Test_56,0.0,0.0,1.0,0.0
Test_57,0.0,0.0,1.0,0.0
Test_58,0.0,0.0,1.0,0.0
Test_59,0.0,0.0,1.0,0.0
Test_60,0.0,0.0,1.0,0.0
Test_61,0.0,0.0,1.0,0.0
Test_62,0.0,0.0,1.0,0.0
Test_63,0.0,0.0,1.0,0.0
Test_64,0.0,0.0,1.0,0.0
Test_65,0.0,0.0,1.0,0.0
Test_66,0.0,0.0,1.0,0.0
Test_67,0.0,0.0,1.0,0.0
Test_68,0.0,0.0,1.0,0.0
Test_69,0.0,0.0,1.0,0.0
Test_70,0.0,0.0,1.0,0.0
Test_71,0.0,0.0,1.0,0.0
Test_72,0.0,0.0,1.0,0.0
Test_73,0.0,0.0,1.0,0.0
Test_74,0.0,0.0,1.0,0.0
Test_75,0.0,0.0,1.0,0.0
Test_76,0.0,0.0,1.0,0.0
Test_77,0.0,0.0,1.0,0.0
Test_78,0.0,0.0,1.0,0.0
Test_79,0.0,0.0,1.0,0.0
Test_80,0.0,0.0,1.0,0.0
Test_81,0.0,0.0,1.0,0.0
Test_82,0.0,0.0,1.0,0.0
Test_83,0.0,0.0,1.0,0.0
Test_84,0.0,0.0,1.0,0.0
Test_85,0.0,0.0,1.0,0.0
Test_86,0.0,0.0,1.0,0.0
Test_87,0.0,0.0,1.0,0.0
Test_88,0.0,0.0,1.0,0.0
Test_89,0.0,0.0,1.0,0.0
Test_90,0.0,0.0,1.0,0.0
Test_91,0.0,0.0,1.0,0.0
Test_92,0.0,0.0,1.0,0.0
Test_93,0.0,0.0,1.0,0.0
Test_94,0.0,0.0,1.0,0.0
Test_95,0.0,0.0,1.0,0.0
Test_96,0.0,0.0,1.0,0.0
Test_97,0.0,0.0,1.0,0.0
Test_98,0.0,0.0,1.0,0.0
Test_99,0.0,0.0,1.0,0.0
Test_100,0.0,0.0,1.0,0.0
Test_101,0.0,0.0,1.0,0.0
Test_102,0.0,0.0,1.0,0.0
Test_103,0.0,0.0,1.0,0.0
Test_104,0.0,0.0,1.0,0.0
Test_105,0.0,0.0,1.0,0.0
Test_106,0.0,0.0,1.0,0.0
Test_107,0.0,0.0,1.0,0.0
Test_108,0.0,0.0,1.0,0.0
Test_109,0.0,0.0,1.0,0.0
Test_110,0.0,0.0,1.0,0.0
Test_111,0.0,0.0,1.0,0.0
Test_112,0.0,0.0,1.0,0.0
Test_113,0.0,0.0,1.0,0.0
Test_114,0.0,0.0,1.0,0.0
Test_115,0.0,0.0,1.0,0.0
Test_116,0.0,0.0,1.0,0.0
Test_117,0.0,0.0,1.0,0.0
Test_118,0.0,0.0,1.0,0.0
Test_119,0.0,0.0,1.0,0.0
Test_120,0.0,0.0,1.0,0.0
Test_121,0.0,0.0,1.0,0.0
Test_122,0.0,0.0,1.0,0.0
Test_123,0.0,0.0,1.0,0.0
Test_124,0.0,0.0,1.0,0.0
Test_125,0.0,0.0,1.0,0.0
Test_126,0.0,0.0,1.0,0.0
Test_127,0.0,0.0,1.0,0.0
Test_128,0.0,0.0,1.0,0.0
Test_129,0.0,0.0,1.0,0.0
Test_130,0.0,0.0,1.0,0.0
Test_131,0.0,0.0,1.0,0.0
Test_132,0.0,0.0,1.0,0.0
Test_133,0.0,0.0,1.0,0.0
Test_134,0.0,0.0,1.0,0.0
Test_135,0.0,0.0,1.0,0.0
Test_136,0.0,0.0,1.0,0.0
Test_137,0.0,0.0,1.0,0.0
Test_138,0.0,0.0,1.0,0.0
Test_139,0.0,0.0,1.0,0.0
Test_140,0.0,0.0,1.0,0.0
Test_141,0.0,0.0,1.0,0.0
Test_142,0.0,0.0,1.0,0.0
Test_143,0.0,0.0,1.0,0.0
Test_144,0.0,0.0,1.0,0.0
Test_145,0.0,0.0,1.0,0.0
Test_146,0.0,0.0,1.0,0.0
Test_147,0.0,0.0,1.0,0.0
Test_148,0.0,0.0,1.0,0.0
Test_149,0.0,0.0,1.0,0.0
Test_150,0.0,0.0,1.0,0.0
Test_151,0.0,0.0,1.0,0.0
Test_152,0.0,0.0,1.0,0.0
Test_153,0.0,0.0,1.0,0.0
Test_154,0.0,0.0,1.0,0.0
Test_155,0.0,0.0,1.0,0.0
Test_156,0.0,0.0,1.0,0.0
Test_157,0.0,0.0,1.0,0.0
Test_158,0.0,0.0,1.0,0.0
Test_159,0.0,0.0,1.0,0.0
Test_160,0.0,0.0,1.0,0.0
Test_161,0.0,0.0,1.0,0.0
Test_162,0.0,0.0,1.0,0.0
Test_163,0.0,0.0,1.0,0.0
Test_164,0.0,0.0,1.0,0.0
Test_165,0.0,0.0,1.0,0.0
Test_166,0.0,0.0,1.0,0.0
Test_167,0.0,0.0,1.0,0.0
Test_168,0.0,0.0,1.0,0.0
Test_169,0.0,0.0,1.0,0.0
Test_170,0.0,0.0,1.0,0.0
Test_171,0.0,0.0,1.0,0.0
Test_172,0.0,0.0,1.0,0.0
Test_173,0.0,0.0,1.0,0.0
Test_174,0.0,0.0,1.0,0.0
Test_175,0.0,0.0,1.0,0.0
Test_176,0.0,0.0,1.0,0.0
Test_177,0.0,0.0,1.0,0.0
Test_178,0.0,0.0,1.0,0.0
Test_179,0.0,0.0,1.0,0.0
Test_180,0.0,0.0,1.0,0.0
Test_181,0.0,0.0,1.0,0.0
Test_182,0.0,0.0,1.0,0.0
Test_183,0.0,0.0,1.0,0.0
Test_184,0.0,0.0,1.0,0.0
Test_185,0.0,0.0,1.0,0.0
Test_186,0.0,0.0,1.0,0.0
Test_187,0.0,0.0,1.0,0.0
Test_188,0.0,0.0,1.0,0.0
Test_189,0.0,0.0,1.0,0.0
Test_190,0.0,0.0,1.0,0.0
Test_191,0.0,0.0,1.0,0.0
Test_192,0.0,0.0,1.0,0.0
Test_193,0.0,0.0,1.0,0.0
Test_194,0.0,0.0,1.0,0.0
Test_195,0.0,0.0,1.0,0.0
Test_196,0.0,0.0,1.0,0.0
Test_197,0.0,0.0,1.0,0.0
Test_198,0.0,0.0,1.0,0.0
Test_199,0.0,0.0,1.0,0.0
Test_200,0.0,0.0,1.0,0.0
Test_201,0.0,0.0,1.0,0.0
Test_202,0.0,0.0,1.0,0.0
Test_203,0.0,0.0,1.0,0.0
Test_204,0.0,0.0,1.0,0.0
Test_205,0.0,0.0,1.0,0.0
Test_206,0.0,0.0,1.0,0.0
Test_207,0.0,0.0,1.0,0.0
Test_208,0.0,0.0,1.0,0.0
Test_209,0.0,0.0,1.0,0.0
Test_210,0.0,0.0,1.0,0.0
Test_211,0.0,0.0,1.0,0.0
Test_212,0.0,0.0,1.0,0.0
Test_213,0.0,0.0,1.0,0.0
Test_214,0.0,0.0,1.0,0.0
Test_215,0.0,0.0,1.0,0.0
Test_216,0.0,0.0,1.0,0.0
Test_217,0.0,0.0,1.0,0.0
Test_218,0.0,0.0,1.0,0.0
Test_219,0.0,0.0,1.0,0.0
Test_220,0.0,0.0,1.0,0.0
Test_221,0.0,0.0,1.0,0.0
Test_222,0.0,0.0,1.0,0.0
Test_223,0.0,0.0,1.0,0.0
Test_224,0.0,0.0,1.0,0.0
Test_225,0.0,0.0,1.0,0.0
Test_226,0.0,0.0,1.0,0.0
Test_227,0.0,0.0,1.0,0.0
Test_228,0.0,0.0,1.0,0.0
Test_229,0.0,0.0,1.0,0.0
Test_230,0.0,0.0,1.0,0.0
Test_231,0.0,0.0,1.0,0.0
Test_232,0.0,0.0,1.0,0.0
Test_233,0.0,0.0,1.0,0.0
Test_234,0.0,0.0,1.0,0.0
Test_235,0.0,0.0,1.0,0.0
Test_236,0.0,0.0,1.0,0.0
Test_237,0.0,0.0,1.0,0.0
Test_238,0.0,0.0,1.0,0.0
Test_239,0.0,0.0,1.0,0.0
Test_240,0.0,0.0,1.0,0.0
Test_241,0.0,0.0,1.0,0.0
Test_242,0.0,0.0,1.0,0.0
Test_243,0.0,0.0,1.0,0.0
Test_244,0.0,0.0,1.0,0.0
Test_245,0.0,0.0,1.0,0.0
Test_246,0.0,0.0,1.0,0.0
Test_247,0.0,0.0,1.0,0.0
Test_248,0.0,0.0,1.0,0.0
Test_249,0.0,0.0,1.0,0.0
Test_250,0.0,0.0,1.0,0.0
Test_251,0.0,0.0,1.0,0.0
Test_252,0.0,0.0,1.0,0.0
Test_253,0.0,0.0,1.0,0.0
Test_254,0.0,0.0,1.0,0.0
Test_255,0.0,0.0,1.0,0.0
Test_256,0.0,0.0,1.0,0.0
Test_257,0.0,0.0,1.0,0.0
Test_258,0.0,0.0,1.0,0.0
Test_259,0.0,0.0,1.0,0.0
Test_260,0.0,0.0,1.0,0.0
Test_261,0.0,0.0,1.0,0.0
Test_262,0.0,0.0,1.0,0.0
Test_263,0.0,0.0,1.0,0.0
Test_264,0.0,0.0,1.0,0.0
Test_265,0.0,0.0,1.0,0.0
Test_266,0.0,0.0,1.0,0.0
Test_267,0.0,0.0,1.0,0.0
Test_268,0.0,0.0,1.0,0.0
Test_269,0.0,0.0,1.0,0.0
Test_270,0.0,0.0,1.0,0.0
Test_271,0.0,0.0,1.0,0.0
Test_272,0.0,0.0,1.0,0.0
Test_273,0.0,0.0,1.0,0.0
Test_274,0.0,0.0,1.0,0.0
Test_275,0.0,0.0,1.0,0.0
Test_276,0.0,0.0,1.0,0.0
Test_277,0.0,0.0,1.0,0.0
Test_278,0.0,0.0,1.0,0.0
Test_279,0.0,0.0,1.0,0.0
Test_280,0.0,0.0,1.0,0.0
Test_281,0.0,0.0,1.0,0.0
Test_282,0.0,0.0,1.0,0.0
Test_283,0.0,0.0,1.0,0.0
Test_284,0.0,0.0,1.0,0.0
Test_285,0.0,0.0,1.0,0.0
Test_286,0.0,0.0,1.0,0.0
Test_287,0.0,0.0,1.0,0.0
Test_288,0.0,0.0,1.0,0.0
Test_289,0.0,0.0,1.0,0.0
Test_290,0.0,0.0,1.0,0.0
Test_291,0.0,0.0,1.0,0.0
Test_292,0.0,0.0,1.0,0.0
Test_293,0.0,0.0,1.0,0.0
Test_294,0.0,0.0,1.0,0.0
Test_295,0.0,0.0,1.0,0.0
Test_296,0.0,0.0,1.0,0.0
Test_297,0.0,0.0,1.0,0.0
Test_298,0.0,0.0,1.0,0.0
Test_299,0.0,0.0,1.0,0.0
Test_300,0.0,0.0,1.0,0.0
Test_301,0.0,0.0,1.0,0.0
Test_302,0.0,0.0,1.0,0.0
Test_303,0.0,0.0,1.0,0.0
Test_304,0.0,0.0,1.0,0.0
Test_305,0.0,0.0,1.0,0.0
Test_306,0.0,0.0,1.0,0.0
Test_307,0.0,0.0,1.0,0.0
Test_308,0.0,0.0,1.0,0.0
Test_309,0.0,0.0,1.0,0.0
Test_310,0.0,0.0,1.0,0.0
Test_311,0.0,0.0,1.0,0.0
Test_312,0.0,0.0,1.0,0.0
Test_313,0.0,0.0,1.0,0.0
Test_314,0.0,0.0,1.0,0.0
Test_315,0.0,0.0,1.0,0.0
Test_316,0.0,0.0,1.0,0.0
Test_317,0.0,0.0,1.0,0.0
Test_318,0.0,0.0,1.0,0.0
Test_319,0.0,0.0,1.0,0.0
Test_320,0.0,0.0,1.0,0.0
Test_321,0.0,0.0,1.0,0.0
Test_322,0.0,0.0,1.0,0.0
Test_323,0.0,0.0,1.0,0.0
Test_324,0.0,0.0,1.0,0.0
Test_325,0.0,0.0,1.0,0.0
Test_326,0.0,0.0,1.0,0.0
Test_327,0.0,0.0,1.0,0.0
Test_328,0.0,0.0,1.0,0.0
Test_329,0.0,0.0,1.0,0.0
Test_330,0.0,0.0,1.0,0.0
Test_331,0.0,0.0,1.0,0.0
Test_332,0.0,0.0,1.0,0.0
Test_333,0.0,0.0,1.0,0.0
Test_334,0.0,0.0,1.0,0.0
