=====linear_9()=====
ep 1 - rl : 37.061702728271484 ;racc : 0.3125 ;l: 1.2990946769714355 ; acc : 0.4375 ; vl : 44.79132080078125 ; vacc : 0.40625
ep 2 - rl : 65.5517807006836 ;racc : 0.4375 ;l: 37.061702728271484 ; acc : 0.3125 ; vl : 100.796875 ; vacc : 0.28125
ep 3 - rl : 53.003292083740234 ;racc : 0.15625 ;l: 65.5517807006836 ; acc : 0.4375 ; vl : 89.66281127929688 ; vacc : 0.03125
ep 4 - rl : 80.69915771484375 ;racc : 0.21875 ;l: 53.003292083740234 ; acc : 0.15625 ; vl : 112.51689910888672 ; vacc : 0.28125
ep 5 - rl : 55.03813552856445 ;racc : 0.59375 ;l: 80.69916534423828 ; acc : 0.21875 ; vl : 89.4803466796875 ; vacc : 0.28125
ep 6 - rl : 68.55177307128906 ;racc : 0.4375 ;l: 55.03813552856445 ; acc : 0.59375 ; vl : 108.06611633300781 ; vacc : 0.28125
ep 7 - rl : 60.007904052734375 ;racc : 0.4375 ;l: 68.55177307128906 ; acc : 0.4375 ; vl : 94.439697265625 ; vacc : 0.28125
ep 8 - rl : 31.474014282226562 ;racc : 0.46875 ;l: 60.007904052734375 ; acc : 0.4375 ; vl : 55.81458282470703 ; vacc : 0.28125
ep 9 - rl : 10.085779190063477 ;racc : 0.71875 ;l: 31.474014282226562 ; acc : 0.46875 ; vl : 14.363199234008789 ; vacc : 0.3125
ep 10 - rl : 45.29946517944336 ;racc : 0.3125 ;l: 10.085779190063477 ; acc : 0.71875 ; vl : 45.396484375 ; vacc : 0.40625
ep 11 - rl : 45.172691345214844 ;racc : 0.3125 ;l: 45.299468994140625 ; acc : 0.3125 ; vl : 45.06317901611328 ; vacc : 0.375
ep 12 - rl : 27.094701766967773 ;racc : 0.46875 ;l: 45.172691345214844 ; acc : 0.3125 ; vl : 29.569196701049805 ; vacc : 0.40625
ep 13 - rl : 12.116479873657227 ;racc : 0.4375 ;l: 27.094703674316406 ; acc : 0.46875 ; vl : 27.06268310546875 ; vacc : 0.28125
ep 14 - rl : 3.865680694580078 ;racc : 0.75 ;l: 12.116479873657227 ; acc : 0.4375 ; vl : 30.102516174316406 ; vacc : 0.25
ep 15 - rl : 17.432741165161133 ;racc : 0.53125 ;l: 3.8656809329986572 ; acc : 0.75 ; vl : 55.7828369140625 ; vacc : 0.25
ep 16 - rl : 24.28736114501953 ;racc : 0.53125 ;l: 17.4327392578125 ; acc : 0.53125 ; vl : 65.8743896484375 ; vacc : 0.25
ep 17 - rl : 21.521190643310547 ;racc : 0.53125 ;l: 24.28736114501953 ; acc : 0.53125 ; vl : 62.26198959350586 ; vacc : 0.21875
ep 18 - rl : 10.697020530700684 ;racc : 0.5625 ;l: 21.521190643310547 ; acc : 0.53125 ; vl : 46.882102966308594 ; vacc : 0.21875
ep 19 - rl : 0.49451708793640137 ;racc : 0.90625 ;l: 10.697021484375 ; acc : 0.5625 ; vl : 22.64915657043457 ; vacc : 0.1875
ep 20 - rl : 1.9755768775939941 ;racc : 0.8125 ;l: 0.49451711773872375 ; acc : 0.90625 ; vl : 16.491416931152344 ; vacc : 0.3125
ep 21 - rl : 10.126724243164062 ;racc : 0.5625 ;l: 1.9755768775939941 ; acc : 0.8125 ; vl : 24.601318359375 ; vacc : 0.40625
ep 22 - rl : 10.60957145690918 ;racc : 0.53125 ;l: 10.12672233581543 ; acc : 0.5625 ; vl : 24.871736526489258 ; vacc : 0.40625
ep 23 - rl : 4.263372898101807 ;racc : 0.78125 ;l: 10.609572410583496 ; acc : 0.53125 ; vl : 18.964324951171875 ; vacc : 0.34375
ep 24 - rl : 2.9818310737609863 ;racc : 0.9375 ;l: 4.263372898101807 ; acc : 0.78125 ; vl : 22.108135223388672 ; vacc : 0.21875
ep 25 - rl : 5.3150224685668945 ;racc : 0.8125 ;l: 2.9818310737609863 ; acc : 0.9375 ; vl : 35.96339416503906 ; vacc : 0.21875
ep 26 - rl : 7.844028472900391 ;racc : 0.6875 ;l: 5.3150224685668945 ; acc : 0.8125 ; vl : 45.05388641357422 ; vacc : 0.28125
ep 27 - rl : 5.872169494628906 ;racc : 0.71875 ;l: 7.844027996063232 ; acc : 0.6875 ; vl : 42.75624465942383 ; vacc : 0.28125
ep 28 - rl : 1.273210048675537 ;racc : 0.8125 ;l: 5.8721699714660645 ; acc : 0.71875 ; vl : 31.471864700317383 ; vacc : 0.1875
ep 29 - rl : 6.698005745420232e-05 ;racc : 1.0 ;l: 1.2732101678848267 ; acc : 0.8125 ; vl : 20.390178680419922 ; vacc : 0.25
ep 30 - rl : 1.1647623777389526 ;racc : 0.8125 ;l: 6.698005745420232e-05 ; acc : 1.0 ; vl : 21.40378761291504 ; vacc : 0.15625
ep 31 - rl : 4.163968086242676 ;racc : 0.71875 ;l: 1.164762258529663 ; acc : 0.8125 ; vl : 24.452381134033203 ; vacc : 0.1875
ep 32 - rl : 2.1268961429595947 ;racc : 0.8125 ;l: 4.163968086242676 ; acc : 0.71875 ; vl : 21.514341354370117 ; vacc : 0.1875
ep 33 - rl : 0.648575484752655 ;racc : 0.90625 ;l: 2.1268959045410156 ; acc : 0.8125 ; vl : 19.505041122436523 ; vacc : 0.3125
ep 34 - rl : 0.378458708524704 ;racc : 0.9375 ;l: 0.648575484752655 ; acc : 0.90625 ; vl : 19.451927185058594 ; vacc : 0.1875
ep 35 - rl : 0.38023507595062256 ;racc : 0.96875 ;l: 0.378458708524704 ; acc : 0.9375 ; vl : 22.5809383392334 ; vacc : 0.1875
ep 36 - rl : 1.1051061153411865 ;racc : 0.9375 ;l: 0.38023504614830017 ; acc : 0.96875 ; vl : 29.805810928344727 ; vacc : 0.1875
ep 37 - rl : 1.9993290901184082 ;racc : 0.84375 ;l: 1.105106234550476 ; acc : 0.9375 ; vl : 35.95347595214844 ; vacc : 0.21875
ep 38 - rl : 1.7677326202392578 ;racc : 0.8125 ;l: 1.9993290901184082 ; acc : 0.84375 ; vl : 36.937408447265625 ; vacc : 0.21875
ep 39 - rl : 0.3985147178173065 ;racc : 0.9375 ;l: 1.7677326202392578 ; acc : 0.8125 ; vl : 32.52058029174805 ; vacc : 0.1875
ep 40 - rl : 3.11498370137997e-05 ;racc : 1.0 ;l: 0.3985147178173065 ; acc : 0.9375 ; vl : 27.384838104248047 ; vacc : 0.21875
